IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,INDEX,BLINK_COUNT,TRIAL_LABEL,block,coloridentifier,conditionidentifier,imagefile,quantidentifier,practicestatus,IP_START_TIME,PUPIL_SIZE_MAX,PUPIL_SIZE_MEAN,PUPIL_SIZE_MAX_TIME,PUPIL_SIZE_MAX_X,PUPIL_SIZE_MAX_Y,REACTION_TIME,PUPIL_SIZE_MIN,PUPIL_SIZE_MIN_TIME,PUPIL_SIZE_MIN_X,PUPIL_SIZE_MIN_Y,correctresponse,ACCURACY,KEY_PRESSED,RT,audiopred
2,Image,subj2,173,0,Trial: 173,5,yellow,F,5_blue_11_yellow.jpg,All,experimental,21364005,1295,1089.08,21366216,529.2,416.9,.,881,21364088,455.8,391.7,f,1,f,3048,are_yellow.wav
2,Image,subj2,174,1,Trial: 174,5,yellow,F,4_blue_12_yellow.jpg,most_11,experimental,21379143,1333,1159.17,21382304,524.6,408.2,.,641,21384760,889.1,808.9,f,1,f,7088,are_yellow.wav
2,Image,subj2,175,0,Trial: 175,5,yellow,T,4_blue_12_yellow.jpg,least_11,experimental,21399399,1449,1205.8,21405316,702.6,136.3,.,958,21399974,340,267.5,j,1,j,6350,are_yellow.wav
2,Image,subj2,176,0,Trial: 176,5,blue,F,7_blue_9_yellow.jpg,more_than_half,experimental,21419220,1149,1048.94,21420324,532.6,304.7,.,938,21419226,484.2,377.7,f,1,f,1105,are_blue.wav
2,Image,subj2,177,0,Trial: 177,5,yellow,T,0_blue_16_yellow.jpg,All,experimental,21432770,1133,1036.48,21433654,504,359.7,.,1004,21433258,497.8,362.7,j,1,j,884,are_yellow.wav
2,Image,subj2,178,0,Trial: 178,5,blue,T,14_blue_2_yellow.jpg,more_than_half,experimental,21446067,1171,1137.52,21446828,486.9,312.5,.,1089,21446070,507,346.4,j,1,j,785,are_blue.wav
2,Image,subj2,179,1,Trial: 179,5,blue,T,16_blue_0_yellow.jpg,All,experimental,21556449,.,.,.,.,.,.,.,.,.,.,j,1,j,981,are_blue.wav
2,Image,subj2,180,0,Trial: 180,5,blue,T,0_blue_16_yellow.jpg,No,experimental,21793421,1302,1189.32,21794587,602.1,295.1,.,1121,21793647,490,368.3,j,1,j,1174,are_blue.wav
2,Image,subj2,181,0,Trial: 181,5,blue,T,11_blue_5_yellow.jpg,most_12,experimental,21809446,1436,1333.45,21812921,408.5,328.2,.,1190,21810025,379.9,336.6,j,1,j,3481,are_blue.wav
2,Image,subj2,182,0,Trial: 182,5,yellow,T,10_blue_6_yellow.jpg,Some,experimental,21827427,1559,1368.15,21832063,423.7,318.3,.,1115,21827427,524.5,369.1,j,1,j,5054,are_yellow.wav
